date,station,title,url,target
2018-01-15,케이벤치,"삼성전자, 접었다 펴지는 '갤럭시X' CES2018서 비밀 공개",https://kbench.com/?q=node/184947,삼성전자
2018-01-17,조선일보,"삼성전자, '갤럭시 노트8 올림픽 에디션' 공개",http://review.chosun.com/site/data/html_dir/2018/01/17/2018011700986.html,삼성전자
2018-01-17,머니투데이,"5년내 매출액 두 배로…삼성전자, 아프리카 시장 '드라이브'",https://news.mt.co.kr/mtview.php?no=2018011715413694725,삼성전자
2018-01-17,한겨레,'착한 기업'에 투자하는 지수·펀드서 삼성전자 찬밥신세,http://www.hani.co.kr/arti/economy/finance/828240.html,삼성전자
2018-01-21,컨슈머와이드,"스틱형 무선청소기, 삼성전자 제값 못하네..다이슨은 ?",http://www.consumerwide.com/news/articleView.html?idxno=19264,삼성전자
2018-01-21,충청신문,삼성전자로지텍 농촌 자매마을 찾아 봉사활동 전개,http://www.dailycc.net/news/articleView.html?idxno=407465,삼성전자
2018-01-21,도민일보 (보도자료),"삼성전자 스마트시티, 성금 1050만원 기부",http://m.dmilbo.com/news/articleView.html?idxno=204587,삼성전자
2018-01-22,보드나라,갤럭시S8 오레오 업데이트 임박? 삼성전자 브라질 사이트에 ...,https://www.bodnara.co.kr/bbs/article.html?num=144808,삼성전자
2018-01-23,아주경제,"'짝퉁 천국' 중국서 삼성전자 폰 판매 8위, 이유 있었네",https://www.ajunews.com/view/20180122154414646,삼성전자
2018-01-24,Samsung Newsroom Korea (보도자료),"삼성전자, AI·빅스비로 진화된 2018년형 '무풍에어컨' 출시",https://news.samsung.com/kr/%EC%82%BC%EC%84%B1%EC%A0%84%EC%9E%90-ai%C2%B7%EB%B9%85%EC%8A%A4%EB%B9%84%EB%A1%9C-%EC%A7%84%ED%99%94%EB%90%9C-2018%EB%85%84%ED%98%95-%EB%AC%B4%ED%92%8D%EC%97%90%EC%96%B4%EC%BB%A8,삼성전자
2018-01-24,Samsung Newsroom Korea (보도자료),"삼성전자, SATA SSD '860 PRO·860 EVO' 글로벌 런칭",https://news.samsung.com/kr/%EC%82%BC%EC%84%B1%EC%A0%84%EC%9E%90-sata-ssd-860-pro%C2%B7860-evo-%EA%B8%80%EB%A1%9C%EB%B2%8C-%EB%9F%B0%EC%B9%AD,삼성전자
2018-01-24,Samsung Newsroom Korea (보도자료),"삼성전자, 2018 평창올림픽 공식 모바일 애플리케이션 '2018 ...",https://news.samsung.com/kr/%EC%82%BC%EC%84%B1%EC%A0%84%EC%9E%90-2018-%ED%8F%89%EC%B0%BD%EC%98%AC%EB%A6%BC%ED%94%BD-%EA%B3%B5%EC%8B%9D-%EB%AA%A8%EB%B0%94%EC%9D%BC-%EC%95%A0%ED%94%8C%EB%A6%AC%EC%BC%80%EC%9D%B4%EC%85%98-2018,삼성전자
2018-01-24,매일경제,반도체 호황 더 간다지만…삼성전자·하이닉스에 환율암초,https://www.mk.co.kr/news/stock/view/2018/01/55202/,삼성전자
2018-01-24,Aving,"[CES 2018] 삼성전자, C랩 우수과제 'Go Breath' 선봬",http://kr.aving.net/news/view.php?articleId=1383524,삼성전자
2018-01-25,Samsung Newsroom Korea (보도자료),"삼성전자, 간편식 선호 트렌드 맞춘 '2018년형 직화오븐' 출시",https://news.samsung.com/kr/%EC%82%BC%EC%84%B1%EC%A0%84%EC%9E%90-%EA%B0%84%ED%8E%B8%EC%8B%9D-%EC%84%A0%ED%98%B8-%ED%8A%B8%EB%A0%8C%EB%93%9C-%EB%A7%9E%EC%B6%98-2018%EB%85%84%ED%98%95-%EC%A7%81%ED%99%94%EC%98%A4%EB%B8%90,삼성전자
2018-01-25,중앙일보 경제,삼성전자 AI 빅스비에 '싸이월드 뉴스 큐레이션' 올라간다,https://news.joins.com/article/22318265,삼성전자
2018-01-25,서울경제,"삼성전자, 파운드리 서비스 강화",https://www.sedaily.com/NewsVIew/1RUKENN70R,삼성전자
2018-01-25,전자신문,"삼성디스플레이 A3 라인, 1월 가동률 심상치 않다",https://m.etnews.com/20180125000169,삼성전자
2018-01-26,아시아투데이,"삼성전자 갤럭시S9 플러스, 큼직한 후면 듀얼카메라 '눈길'",http://www.asiatoday.co.kr/view.php?key=20180126010015227,삼성전자
2018-01-26,일간투데이,"스마트폰 자웅 겨룬 삼성전자·애플, 반도체 구매도 백중세",http://www.dtoday.co.kr/news/articleView.html?idxno=260746,삼성전자
2018-01-26,시사위크,"[루머추적] 삼성전자, 갤럭시S9(엑시노스 9810) 성능 의도적 ...",http://m.sisaweek.com/news/articleView.html?idxno=102230,삼성전자
2018-01-28,한경닷컴,"삼성전자, 작년 미국 가전시장 점유율 19.5%…2년 연속 1위",https://www.hankyung.com/economy/article/201801285817g,삼성전자
2018-01-28,칸 (보도자료) (블로그),"삼성전자, '무풍에어컨' 풀 라인업 전시",http://www.kharn.kr/news/article.html?no=6109,삼성전자
2018-01-28,한경닷컴,삼성전자 '1일 SCM 혁명'… 제조업체 중 세계 유일,https://www.hankyung.com/economy/article/2018012868191,삼성전자
2018-01-29,미디어SR,"진심은 언제나 통한다, 삼성전자 서남아총괄 '테크니컬 스쿨'",http://www.mediasr.co.kr/news/articleView.html?idxno=47405,삼성전자
2018-01-30,한경닷컴,'외국어 1급' 따야 삼성전자 임원 된다,https://www.hankyung.com/economy/article/2018013056521,삼성전자
2018-01-30,전자신문,"삼성전자, 슬로바키아 LCD 공장 통합",https://m.etnews.com/20180130000448,삼성전자
2018-01-30,아이뉴스24,"삼성전자 DS부문, 성과급 50% 또 받는다",http://www.inews24.com/view/1074690,삼성전자
2018-01-31,조선비즈,"[단독] ""삼성전자 거래정지 최대한 단축""…거래정지 충격 대응TF ...",https://biz.chosun.com/site/data/html_dir/2018/01/31/2018013101881.html,삼성전자
2018-01-31,파이낸셜뉴스,삼성전자의 '반도체 매직'100원 팔아 47원 남겼다,https://www.fnnews.com/news/201801311733553495,삼성전자
2018-01-31,매일경제,삼성전자 이사회 중심으로 '투명경영',https://www.mk.co.kr/news/stock/view/2018/01/72619/,삼성전자
2018-01-31,알럽피씨,"성능과 가격, 디자인, A/S까지! 4박자 갖춘 삼성전자 모니터 3종",http://www.ilovepc.co.kr/news/articleView.html?idxno=18351,삼성전자
2018-01-31,아시아투데이,"삼성전자, 과장·차장 발등에 '외국어 1급' 불호령 떨어져",http://www.asiatoday.co.kr/view.php?key=20180131010018037,삼성전자
2018-02-01,중앙일보 경제,"삼성전자, 액면 분할에도 목표주가 줄줄이 하향 왜",https://news.joins.com/article/22338531,삼성전자
2018-02-01,뉴스핌,"삼성물산, 서초사옥 매각 재추진..전자 지분 매입 포석?",https://www.newspim.com/news/view/20180201000306,삼성전자
2018-02-01,시사위크,"침체기 맞은 스마트폰 시장, 삼성전자 '흥행 독주' 가능할까?",http://m.sisaweek.com/news/articleView.html?idxno=102522,삼성전자
2018-02-01,비즈한국,[CEO 라이벌 열전] '골리앗과 다윗' 삼성전자 IM 고동진 vs LG ...,http://www.bizhankook.com/article/14792,삼성전자
2018-02-01,뉴스1,"삼성전자, 週52시간 시범 운용…홍 대리와 오 대리의 엇갈린 하루",https://news1.kr/articles/?3224111,삼성전자
2018-02-01,돌직구뉴스,기업 브랜드가치 1위 삼성전자…2위 현대차보다 83조↑,http://www.straightnews.co.kr/news/articleView.html?idxno=31076,삼성전자
2018-02-02,조선일보,아이폰 판매량 부진에 삼성전자 급락....외국인 매도에 사라진 ...,https://biz.chosun.com/site/data/html_dir/2018/02/02/2018020201875.html,삼성전자
2018-02-02,서울경제,4차산업혁명..400조 자율주행 삼성전자 VS 인텔 승자는?,https://www.sedaily.com/NewsVIew/1RVJRH7N7H,삼성전자
2018-02-04,매일경제,삼성전자 액면분할 속 불편한 SK하이닉스,https://www.mk.co.kr/news/stock/view/2018/02/80750/,삼성전자
2018-02-05,허핑턴포스트,'이재용 집행유예'에 대한 삼성전자 측의 입장,https://www.huffingtonpost.kr/entry/story_kr_5a78051ce4b01ce33eb49c35,삼성전자
2018-02-05,CCTV NEWS,"삼성전자, 슬라이딩 디스플레이 스마트폰 특허 출원 '더 넓은 화면'",http://www.cctvnews.co.kr/news/articleView.html?idxno=78349,삼성전자
